Channel address;ISI mean (us);ISI mean std (us);Estimated freq. (Hz)
0;66.68789484842061;4.528061645415416;14995.22517951672
1;66.68879937813583;4.64930739659094;14995.021792637846
2;66.80661238938053;7.300032257913004;14968.578172644453
3;69.41094439541043;14.058825817549561;14406.949922815367
4;136.08673204499567;61.533131767113936;7348.254932518773
5;155.87053187974894;63.00766252855394;6415.580853804236
6;180.17361084590416;69.32214437527544;5550.202359297018
7;179.41939532230464;63.21961447403464;5573.53344215448
8;202.5954486904251;70.46461058345778;4935.945039555379
9;215.10809209026672;71.10041952354212;4648.825575470986
10;248.5281875658588;82.72621249587213;4023.688458819203
11;262.57483996660176;84.67796892160449;3808.4380061973766
12;302.6842476740456;98.30115133795104;3303.7728513605352
13;320.1491513917176;100.94900210549818;3123.5441220222156
14;366.54823163622234;118.40890448308245;2728.153933620505
15;400.29949066213925;128.52801000007403;2498.129583792101
16;430.90374429223743;135.93962148386615;2320.70390022372
17;491.8305526590198;154.47958841719688;2033.2205768706851
18;532.4461885940146;159.36016862360984;1878.1240647822362
19;596.2351453855879;179.051982023931;1677.1906314802957
20;703.4229679343774;228.2337684793022;1421.619773003048
21;763.3705024311183;248.39778113184246;1309.979881086948
22;838.5334519572955;268.79107654672;1192.558266656877
23;964.8673490276357;325.95760154119824;1036.4118974569615
24;1060.2447694038246;346.11481351920395;943.1784328087747
25;1217.8209302325583;393.80408306795886;821.1387858221796
26;1438.8238167938932;464.5204112861592;695.0121261046978
27;1562.5956882255389;506.7223867449586;639.9608085029248
28;1710.323774954628;551.8549955500218;584.6846162367873
29;1922.0224948875255;613.2671426104928;520.2852737987954
30;2126.178329571106;721.6719988555747;470.32743495307875
31;2473.878421052632;803.9049766166919;404.22358329739643
32;2685.9834285714287;900.4729891465545;372.30311600688526
33;3062.496416938111;1056.0614248157644;326.53099427943226
34;3333.8127659574466;1116.9750282516359;299.95685726903963
35;3764.536546184739;1292.9006944124383;265.6369483285995
36;4508.742583732057;1530.7187714526565;221.79132683424612
37;5120.36847826087;1847.6565449020627;195.29844468139711
38;5452.784705882353;1805.6744518001428;183.39253316222454
39;6397.794482758621;2293.2512676375604;156.3038641980286
40;6973.652631578948;2532.507409621209;143.3968757594374
41;7792.702521008403;2791.421791379547;128.3251859421161
42;8829.780952380952;2991.3428404264346;113.25309261837917
43;9551.041237113403;3369.27842499008;104.7006263687988
44;10766.25581395349;3652.74258856002;92.88280134528856
45;12681.849315068494;4264.58524817337;78.85285301504146
46;14380.73650793651;5078.772464465216;69.53746767059637
47;15763.325423728815;5942.933332662603;63.438390892741594
48;17649.38;6168.502353764644;56.65921409137319
49;21054.81428571429;7425.916138368493;47.4950757783934
50;23974.189743589744;9033.720130534144;41.71152438081381
51;28379.69090909091;8848.398929180205;35.23646551343054
52;28941.864516129037;10752.645014781354;34.55202409100869
53;32094.721428571433;12167.759812288405;31.157771605077027
54;39046.90434782609;13810.720548134954;25.610224848866267
55;38953.373913043484;14698.107872110235;25.671717223579225
56;49893.26666666666;13862.722968530457;20.042784664330128
57;49820.433333333334;13730.308551076992;20.072085549904894
58;57069.6875;19520.686496377206;17.522436932916445
59;68250.96923076923;21260.69468940224;14.651806579021814
60;65935.6;20863.159305659665;15.166313797098988
61;79196.43999999999;21237.83825285427;12.626830195902748
62;83211.58;31958.235868013744;12.017558133134836
63;93440.62222222223;30132.926166193756;10.701983529409526
