Channel address;ISI mean (us);ISI mean std (us);Estimated freq. (Hz)
0;231.8240615976901;161.81972121372104;4313.616080695758
1;86.59243146067416;68.12457641157486;11548.353396845645
2;172.208400357462;131.89500260200208;5806.91765282209
3;119.58793595631128;92.42733097630364;8362.0474925274
4;166.67979238754324;131.30415916675884;5999.527511258976
5;141.44484581497798;109.37149305245862;7069.893528026367
6;215.00816964285715;160.6779061709202;4650.986060953249
7;110.14922232387924;96.02684104526944;9078.593374537244
8;287.26529516994634;198.44089463713848;3481.1027186851766
9;196.53515609059377;149.37134530670784;5088.1481964430095
10;393.165046957942;260.13029612647824;2543.4610928345646
11;294.5639755351682;206.19773488191768;3394.8482606645475
12;503.33110297961326;333.035047893839;1986.7637705681457
13;152.30718127174947;157.05064600914662;6565.678595389277
14;622.1482870071106;423.52508853959324;1607.3338477078712
15;728.3769696969698;476.41786263031804;1372.9154566982465
16;464.48601735776276;380.01788163689196;2152.9173379395106
17;1337.6825000000001;679.1450544817991;747.561547676672
18;470.7378299120235;426.19501298907244;2124.324701473197
19;344.6561001788909;370.9595207574612;2901.442915070873
20;1996.6684647302907;77.32139989061898;500.83427352326095
21;2000.891476091476;31.086837500852873;499.7772302740733
22;1007.6952879581152;723.8819586807314;992.3634772831895
23;2000.7284823284824;25.417476422254765;499.8179457295388
24;1049.2952069716778;725.0542911374632;953.0206498188949
25;1524.2152380952382;677.2778641677356;656.0753199460644
26;2000.7729166666666;19.539302695499845;499.8068454795074
27;2000.6525;24.615975376778184;499.83692820217414
28;1886.8231372549021;389.71620425230395;529.9913808852685
29;2000.6881496881497;24.839045383802514;499.82802175135174
30;2000.8773388773388;38.53450981876336;499.78076145391526
31;2001.03125;36.5055946411512;499.7423203660613
32;2000.837837837838;60.34128287175886;499.7906282503276
33;2001.0295218295216;60.38147512296107;499.742751963854
34;2000.7379166666665;80.97273139145305;499.8155888733553
35;2000.4968814968815;156.61355119704498;499.87581047951704
36;2281.802380952381;815.4023512201092;438.250046694499
37;6450.829530201343;3122.3598091269773;155.0188228224329
38;6790.9;3112.801159130749;147.25588655406503
39;7490.872440944882;3433.951760025955;133.49579877158638
40;8421.118584070797;3675.249018751196;118.74906997409798
41;9067.41142857143;4020.6146848535363;110.28505851725204
42;9821.99793814433;4067.905787157763;101.81227956854265
43;10020.58105263158;4153.8895749024305;99.79461218343047
44;11959.827848101268;4782.552631561408;83.61324366042268
45;14122.06567164179;5150.473933316895;70.8111704938519
46;14993.309677419355;4986.97013473562;66.69641470195525
47;16319.294736842108;5169.347607432059;61.27715787511457
48;17563.309433962266;5356.036782119815;56.93687762889918
49;18231.980392156864;5431.28812168826;54.84867680255874
50;19743.447826086955;4917.644760794;50.64971472098725
51;22079.234146341467;6828.767637118773;45.291426023746396
52;21013.702325581395;6126.318940345166;47.58799684635452
53;26491.20588235294;12009.415943430318;37.74837598714779
54;31960.214814814815;14429.279007775305;31.28890108512227
55;35909.15;14086.647023363419;27.84805543990877
56;44906.86666666667;17884.142717511437;22.2683093751067
57;51104.17777777778;22150.524932519613;19.567871815654993
58;61038.21333333334;19122.184059842355;16.383179411542407
59;64991.31428571429;19480.813160164136;15.386671449723393
60;76014.38333333333;25911.715136009858;13.155405018743165
61;75944.87272727274;27070.145231067283;13.167445860250783
62;104731.475;45196.9642599962;9.548227980175014
63;69527.35;36553.60984646388;14.38282920318407
