Channel address;ISI mean (us);ISI mean std (us);Estimated freq. (Hz)
0;73.26954763331337;26.442237172480702;13648.234939358781
1;79.95851585485453;29.401925200779992;12506.485260622645
2;99.67133251833741;36.53773938052797;10032.97512668471
3;111.56916410080969;40.2471120262525;8963.050033219195
4;131.60123772366475;47.658289478135735;7598.712727153769
5;143.1561539587297;51.688849431270064;6985.3790587884105
6;167.78926427713944;61.383867381797266;5959.85687349036
7;178.53392954918783;66.58095416326513;5601.17621633646
8;210.22806791317433;78.41350062479243;4756.738764364267
9;230.76461429582452;85.15379851367736;4333.420022179259
10;269.9426994203699;97.33870584533406;3704.489886732384
11;294.3123081552814;107.54249068445992;3397.7512060840904
12;343.156350877193;124.39385623973773;2914.1235400241067
13;363.84598214285717;135.39967314152898;2748.4156733311656
14;426.08444444444444;157.84869851521967;2346.95261241903
15;479.1257226849584;184.36921610962244;2087.1348638852655
16;525.7567741935484;201.9078290256534;1902.0201908646584
17;611.7244527829895;233.4888075169939;1634.7229466642755
18;649.0483078964832;247.2711074094821;1540.7173670029663
19;722.8745011086475;277.4872680409407;1383.3659901771814
20;858.3402460456942;327.82683137283533;1165.0391608769612
21;956.7645445641529;357.0980575687939;1045.1892324830483
22;1044.8143315508023;404.980886652649;957.1078514167344
23;1244.355923566879;479.1051581908092;803.6285929620153
24;1292.0988110964333;515.6294962433864;773.9346181670365
25;1484.8762917933132;593.1804484750973;673.456775845132
26;1776.4803636363636;691.1974210914749;562.9108097502703
27;1958.1362725450904;763.7848681117275;510.68968693391736
28;2035.72875;845.5882585554101;491.2245798955289
29;2467.8020202020202;971.1912956380911;405.2188918777762
30;2557.721989528796;1058.6131033105337;390.9729063963782
31;2997.526993865031;1189.3042172519063;333.60833848925364
32;2725.777591036415;1339.7948745342933;366.8677896863085
33;3908.664257028113;1512.2239674062625;255.84187697930682
34;4064.4100840336137;1763.8934484195206;246.0381652747936
35;5118.796825396826;1854.498707545041;195.35840825690065
36;5228.808648648649;2206.412115662307;191.24815367998664
37;6315.257142857144;2207.3529829956697;158.3466796963363
38;5457.8927374301675;2851.4075337395766;183.22089643536071
39;7907.042276422765;2858.6398637696625;126.46954006832645
40;8454.692173913045;2890.377974896164;118.2775173158285
41;8035.938842975207;3848.674848028426;124.44096695362137
42;11039.733333333335;4610.112989830493;90.58189811348099
43;8978.386915887852;5797.829206478266;111.37858162811335
44;9505.770297029701;6797.954887361562;105.19925989716722
45;16737.520689655175;6773.20443430451;59.74600530997772
46;17788.98518518519;7981.005774996103;56.21456140358182
47;13157.016666666668;8830.573591710281;76.0050720718096
48;23428.1;8454.269863920828;42.683785710322226
49;14212.50303030303;11668.616376975517;70.36058306322687
50;19967.570212765957;13526.576836572822;50.08120614298206
51;34043.281481481485;12327.784589564098;29.374371578837657
52;34082.54074074074;11603.438933518622;29.34053560169723
53;30003.8064516129;14233.76275774714;33.32910447921662
54;41196.081818181825;15099.882948331278;24.274153168582448
55;26578.066666666666;18453.571969133776;37.625009092710535
56;48005.85263157895;19703.78001307226;20.83079343834392
57;26096.02857142857;21593.922641184712;38.320007094675596
58;76338.75;31787.11768060817;13.099507131044195
59;70394.04615384615;34718.121408071056;14.205746858399085
60;84104.74;36557.65627860189;11.889936286587416
61;83749.32;45618.12717244759;11.940395456345197
62;113576.74285714286;20604.98768487566;8.80461945680026
63;52428.88888888889;49379.58184635618;19.07345399059043
