Channel address;ISI mean (us);ISI mean std (us);Estimated freq. (Hz)
0;73.53957018334836;27.05094827173665;13598.121358430662
1;80.38792409430708;29.76377350895416;12439.67935814402
2;99.32699959399108;36.09129655159323;10067.756039018584
3;110.436113305496;40.163558121031485;9055.009000848582
4;130.92095263580413;47.74120698484073;7638.196788727927
5;142.328;51.67253230594728;7026.0243943566975
6;167.12263023057216;60.40631943840591;5983.630096177529
7;179.2435977285217;65.26245386830874;5578.999822992715
8;210.4732630673263;77.07084360290165;4751.197303764515
9;231.92192462668882;85.98814219277635;4311.795883936552
10;269.0378883695353;99.03464728811647;3716.948590625482
11;291.96968973747016;107.38826579386574;3425.013058373176
12;339.4224843858432;124.9356192053401;2946.1807805968338
13;361.63401109057304;138.89382350337272;2765.2266361350207
14;429.1639473684211;160.05853331257586;2330.111851500745
15;481.0323500491642;181.10632957268902;2078.8622634169915
16;525.4781954887219;199.43981512611316;1903.0285339812212
17;612.2627426424547;233.14139068027563;1633.2857290713405
18;651.0246338215712;256.4607471704921;1536.0401865746815
19;739.7545798637397;299.8188838025829;1351.7996741354366
20;867.864653641208;327.31515496372793;1152.253402422147
21;968.5639246778989;366.0124904946209;1032.4563764157904
22;1037.5747346072187;386.6720088931286;963.7859969465786
23;1229.3527044025157;469.75682806272584;813.4362062399459
24;1286.3986842105264;510.627686024869;777.3639792034678
25;1488.075799086758;587.9338655810861;672.0087784598787
26;1797.266544117647;685.6727465426143;556.400497896622
27;1943.855268389662;751.7761267680747;514.4415925720771
28;2035.155416666667;854.9741394309287;491.3629651134342
29;2482.001017811705;942.8080373094252;402.9007211615351
30;2533.651428571429;1057.3067989327346;394.6872836267927
31;3167.2727272727275;1233.0554851732873;315.7290470723307
32;2938.3162650602408;1421.5241714358629;340.3309616092325
33;4080.789958158996;1502.251761538526;245.05059320699252
34;4222.413852813853;1851.7739463029402;236.83135638956645
35;5243.484946236559;2095.156622443558;190.71285800443397
36;5449.5094972067045;2492.203319823641;183.50275387400964
37;6686.643055555556;2701.2277409400335;149.55187404076491
38;6022.636024844722;3183.9519936834936;166.0402514571321
39;7976.639344262295;2839.116731920053;125.36607922725172
40;9014.346296296295;2816.476460455702;110.93427821947199
41;9097.03738317757;3442.3108794459604;109.92589761686818
42;10473.202150537634;3210.331506480401;95.48178156273492
43;9170.4;4281.429685825373;109.04649742650268
44;10677.829213483146;5879.4944814837845;93.65199424029713
45;15430.120634920635;6247.566864703352;64.8083073139981
46;16750.76551724138;7128.892857325368;59.698764153238905
47;15417.355555555556;8180.8168258641645;64.86196652834252
48;22250.92558139535;8042.385947260571;44.94195067714978
49;16748.58947368421;10870.25599010508;59.70652045482543
50;20760.14347826087;10724.913159203548;48.169223928878765
51;29836.950000000004;11815.05994102441;33.515490021600726
52;32524.55;12920.732784131418;30.74600570953326
53;21644.99047619048;15489.535145347543;46.200066528095796
54;41336.69090909091;15942.729927716242;24.191583264350665
55;28581.020000000004;20582.694159599218;34.98825444298349
56;65696.00000000001;28763.786919720365;15.22162688748173
57;21785.828571428574;24200.725501937664;45.90139855004039
58;77901.21818181819;33102.2160326525;12.836769736591819
59;37060.36363636364;38053.339300543834;26.983005612465163
60;105306.51428571428;27652.958997620517;9.49608869672423
61;68029.35;48142.03048142202;14.699537773034727
62;137449.54285714286;44836.5410852372;7.275397059991261
63;37561.71304347826;47564.24457235209;26.622853937531673
