Channel address;ISI mean (us);ISI mean std (us);Estimated freq. (Hz)
0;72.9911360239163;26.151370947741256;13700.29368596674
1;80.4383493946133;29.56281306573549;12431.881155271032
2;98.97573730617209;36.31805995396012;10103.486240335797
3;110.36187139789806;40.11549724991359;9061.100426564948
4;130.7737814675951;47.24000367020585;7646.79271928673
5;142.30103453300308;52.145257924717285;7027.355797389342
6;166.4423044145219;60.8438824902119;6008.087928832781
7;178.27442030308563;65.72476188380072;5609.329696879075
8;210.75298942369957;77.50959902551276;4744.891176796508
9;231.87276181429587;85.55662042999109;4312.7100922741765
10;269.5356334529396;98.43223436034896;3710.084589519026
11;294.19180476047006;109.91025446464799;3399.1429530615123
12;340.9346368715084;126.21930536212474;2933.1135409890326
13;363.07702602230484;138.7779471572398;2754.236507210366
14;427.8497808939527;158.4062922367576;2337.268930956543
15;482.05688888888886;178.14904699820931;2074.443956822063
16;519.7781682641107;196.57958354065016;1923.8976568401736
17;615.8689393939395;228.0313315679509;1623.7220876637712
18;660.0396213657878;250.18828333567166;1515.0605624716115
19;735.6152223059534;278.3582274112404;1359.4063440738387
20;878.6554455445544;324.3075403998121;1138.1025464199352
21;976.1498;372.2134430672272;1024.4329302736116
22;1045.5719185423366;398.8632828386869;956.4143625759673
23;1213.4206467661693;447.905235537021;824.1165194156316
24;1295.5654714475431;502.7993549825412;771.8637321220779
25;1455.4777279521675;588.4346490990398;687.0596373927226
26;1732.567615658363;668.2455054356028;577.1780512127415
27;1883.3984555984557;745.0392458357154;530.955091859331
28;2015.6293388429754;814.4004730238988;496.12296305134487
29;2495.4695652173914;917.0061674103456;400.72618553970847
30;2538.6355091383816;1050.9431033942801;393.9123975853478
31;3107.2479233226836;1196.0236326978343;321.8281980314808
32;2938.0302114803626;1381.7520755773035;340.36409703770124
33;3938.2299595141703;1518.1523369315626;253.921180398354
34;4036.798340248963;1727.6573765129629;247.72106895444438
35;5182.854545454546;1923.6678205630287;192.94386736687753
36;5383.926666666667;2106.671357790133;185.7380424943876
37;6461.1720000000005;2408.8610880142764;154.77068247061058
38;5444.474860335195;3000.5976371540155;183.67244328472
39;7671.9748031496065;2981.9639551671817;130.34453653177616
40;8777.96;3569.784503483241;113.92168567639862
41;8860.299082568808;4128.404426051911;112.86300729592038
42;10970.5;3795.7195803598684;91.15354815186181
43;10022.78556701031;5577.229965534101;99.77266233166449
44;10031.286597938144;5798.982215492094;99.6881098188883
45;15677.9868852459;7094.595466175677;63.78369922869824
46;17716.71851851852;7553.620452473597;56.44386114475676
47;13693.74;8512.866836524578;73.02606884605667
48;21738.940909090914;8770.619604792058;46.000401039859966
49;15186.409523809527;10447.89174428156;65.84834937001942
50;18410.242307692308;10792.927368872115;54.31759035470014
51;30799.760000000002;11218.613525791268;32.467785463263354
52;34186.67407407407;11169.504301630515;29.25116370879622
53;22678.556097560977;16083.719423827743;44.09451799744639
54;42828.08571428571;13602.221811590214;23.34916406657047
55;29920.541935483878;19655.44100011207;33.42185452911409
56;52593.17647058824;21368.019847027837;19.01387341681542
57;24732.627027027025;23507.911989412678;40.43242146930983
58;70059.98333333334;25871.021159778804;14.273483269931312
59;46795.42222222223;31715.09715148915;21.36961165242184
60;84124.12727272729;33491.22022492925;11.887196128145703
61;58076.02500000001;47127.48526125041;17.21880931072676
62;115537.5;28337.94125779076;8.65519852861625
63;77311.8;56994.155552769895;12.934636109882321
